MT-CO1	COX1
AC004381.6	RNH70
PLK3	CDC5
ALDH9A1	ALD5
ALDH9A1	ALD6
ALDH9A1	ALD2
FBXW2	MET30
XYLB	XKS1
DIRAS1	RSR1
LZTR1	KEL2
LZTR1	KEL1
CTDP1	FCP1
LRRC29	GRR1
HSPA9	ECM10
RAB3A	YPT1
KIF12	KIP3
SEC31B	SEC31
STX19	SSO1
STX19	SSO2
SCLY	NFS1
WDR1	AIP1
DDX6	DHH1
NUDT12	NPY1
NSUN3	NOP2
LIPF	TGL1
NCBP2	CBC2
PHLPP2	CYR1
ASB8	NAS6
RDH12	ENV9
PDSS2	COQ1
VDAC2	POR1
VDAC2	POR2
RP11-474G23.1	CNB1
FIS1	FIS1
HTATIP2	FMP52
ARHGEF2	ROM1
ARHGEF2	ROM2
EDEM2	MNL1
DHX15	PRP22
KRI1	KRI1
ACAA2	ERG10
ASAP3	AGE2
TLN2	SLA2
RDH13	ENV9
SLC30A8	ZRC1
SLC30A8	COT1
TARS2	THS1
AQP2	AQY1
AQP2	AQY2
MYH14	MYO1
NAPA	SEC17
SERINC4	TMS1
MRTO4	MRT4
ATXN10	CTR86
TRAPPC6A	TRS33
STK25	SPS1
NUP62CL	NUP1
GARS	GRS1
GARS	GRS2
STX11	SSO1
STX11	SSO2
EGR3	MIG1
EGR3	MIG2
EGR3	MIG3
STAG2	IRR1
TOP3A	TOP3
GTF2H2	SSL1
MAPK8	HOG1
FAHD2A	FMP41
TCF25	RQC1
POLR2B	RET1
RPA2	RFA2
RPF1	RPF1
SEL1L3	HRD3
DNAL4	DYN2
SERINC1	TMS1
MKNK2	RCK2
MKNK2	RCK1
RBM34	NOP12
TMEM167B	KSH1
TMBIM1	BXI1
INPP5E	INP53
INPP5E	INP51
INPP5E	INP52
ALDH3B2	HFD1
PRPF40B	PRP40
EVI5L	GYP5
EVI5L	GYL1
TIPRL	TIP41
TBCE	PAC2
ACOXL	POX1
BRF1	BRF1
ISCA2	ISA2
ARL4C	ARF1
UBE4B	UFD2
GRAMD1C	YSP2
MARCH6	SSM4
BRD1	NTO1
DBI	ACB1
PAM16	PAM16
CWC27	CPR2
CWC27	CPR5
HIST2H2BE	HTB1
BRIP1	CHL1
MTOR	TOR2
PGLS	SOL1
PGLS	SOL4
PGLS	SOL2
PGLS	SOL3
KLF6	FZF1
ARHGAP12	BEM2
CNNM4	MAM3
CDK20	KIN28
NLK	FUS3
NLK	KSS1
TMEM87B	PTM1
OSBPL1A	OSH2
OSBPL1A	SWH1
PHF2	JHD1
AC243756.1	CPR3
AC243756.1	CPR1
MYO1G	MYO5
MYO1G	MYO3
HIST1H2BM	HTB1
AKR1B15	GRE3
IDI2	IDI1
PRKAR1A	BCY1
XAB2	SYF1
HIST1H4K	HHF1
HIST1H4K	HHF2
TXNDC8	TRX1
TXNDC8	TRX2
PCSK7	KEX2
MYBL1	BAS1
NUP93	NIC96
NAPEPLD	FMP30
CDK8	SSN3
LRBA	BPH1
RCC2	HUL4
PCF11	PCF11
NMT2	NMT1
PLK2	CDC5
NCOR1	SNT1
SLC9A7	NHX1
PKN3	PKC1
RGPD1	YRB1
HMGB1	NHP6B
HMGB1	NHP6A
YPEL2	MOH1
ARHGAP9	BEM2
MRM2	MRM2
MTHFS	FAU1
CPO	ECM14
PSMD9	NAS2
RASAL1	BUD2
HIST1H4G	HHF1
HIST1H4G	HHF2
SEC24B	SFB2
SEC24B	SEC24
PIGB	GPI10
EFTUD2	EFT1
GMPPA	PSA1
LSM2	LSM2
RPL7L1	RPL7B
DHX58	MPH1
WWP2	RSP5
STARD13	LRG1
KPNA1	SRP1
RASA2	BUD2
SH3BP1	RGA1
SH3BP1	RGA2
MARK1	SNF1
SENP5	ULP1
GTPBP4	NOG1
PTPN6	PTP1
ADH1A	SFA1
ISYNA1	INO1
PSMD1	RPN2
HSPA14	SSB1
DIRAS3	RSR1
PRPF31	PRP31
METTL8	ABP140
PMPCB	MAS1
KIF15	KIP1
KIF15	CIN8
CUL5	CDC53
NFX1	FAP1
NAALADL1	VPS70
POR	NCP1
RFK	FMN1
CHD4	CHD1
PDIA2	PDI1
PDIA2	EUG1
RHOA	RHO1
STX3	SSO1
STX3	SSO2
BRD2	BDF1
BRD2	BDF2
MRPS2	MRP4
AGAP9	AGE2
TUBE1	TUB2
PPP6R2	SAP4
PPP6R2	SAP190
PPP6R2	SAP185
PPP6R2	SAP155
TTBK2	HRR25
UFD1L	UFD1
BCAT2	BAT1
BCAT2	BAT2
RPL10A	RPL1A
RPL10A	RPL1B
ATG4D	ATG4
DHRS4L2	SPS19
ARL5B	ARF3
UBE2R2	UBC7
DCTN1	ALF1
USP36	UBP8
USP50	UBP5
USP50	DOA4
MRS2	MFM1
MRS2	MRS2
RCOR1	SNT1
RABGGTB	BET2
ACSL5	FAA2
CSNK1G2	HRR25
SLC44A1	PNS1
HSPA4L	SSE2
PPP2CA	PPH21
PPP2CA	PPH22
RRP1	RRP1
TIMM17B	TIM17
NALCN	CCH1
KIFC1	KAR3
TBC1D10C	MSB3
TBC1D10C	MSB4
RNF19A	ITT1
DNAJB14	HLJ1
NSA2	NSA2
C14orf1	ERG28
MYO1D	MYO5
MYO1D	MYO3
NARFL	NAR1
FNTA	RAM2
DGAT2	DGA1
STK17B	MEK1
CWF19L2	DRN1
CS	CIT1
CPA5	ECM14
HSD11B2	LYS2
PRPF4	PRP4
EPN3	ENT3
PNPLA7	NTE1
PGC	PEP4
SUPT5H	SPT5
SMARCA4	SNF2
SMARCA4	STH1
HAO1	CYB2
DLST	KGD2
RP11-286H14.4	PBS2
SLC44A4	PNS1
SGPP1	LCB3
SGPP1	YSR3
KDM4C	GIS1
KDM4C	RPH1
SUPV3L1	SUV3
MYO9A	MYO2
SERINC5	TMS1
COX6A2	COX13
RASA4B	BUD2
ZFYVE16	FAB1
VAPA	SCS22
VAPA	SCS2
UBQLN4	DSK2
LCMT1	PPM2
RP11-668G10.2	GUT1
TUBA4B	TUB3
KIF3A	KIP1
KIF3A	CIN8
ACTRT1	ACT1
MAPK1	FUS3
MAPK1	KSS1
CWH43	CWH43
PRKCQ	PKC1
GGTLC2	ECM38
MRPL27	MRP7
KIAA1456	TRM9
RIOK3	RIO1
MASTL	FPK1
MASTL	KIN82
DQX1	PRP43
HIST1H4J	HHF1
HIST1H4J	HHF2
SUPT3H	SPT3
HSF4	HSF1
GTF2H2C	SSL1
ACTRT3	ACT1
SH3YL1	YSC84
SH3YL1	LSB3
CDC42BPG	CBK1
LIG3	CDC9
MTFMT	FMT1
BRAP	ETP1
PDP1	PTC5
HIPK4	YAK1
ACSL3	FAA2
ERAP1	APE2
ERAP1	AAP1
TRAPPC4	TRS23
TMED1	EMP24
RPS4Y1	RPS4A
RPS4Y1	RPS4B
ARL13A	ARL3
MAP2K5	PBS2
PUS3	DEG1
SIGMAR1	ERG2
AGXT	AGX1
RP11-566K11.2	TUB2
USP13	UBP14
MYO5C	MYO2
ARHGAP22	RGA1
ARHGAP22	RGA2
ACP1	LTP1
RBMS2	PAB1
BRDT	BDF1
BRDT	BDF2
ULK3	ATG1
AP2M1	APM1
G6PD	ZWF1
GFM2	MEF2
GPD2	GUT2
DPP8	STE13
DPP8	DAP2
RRAS	RAS1
RRAS	RAS2
ECHS1	ECI1
ECHS1	DCI1
DUS1L	DUS1
CYP26A1	ERG11
DAW1	PRP4
TMED10	ERV25
DDX42	DBP2
PGS1	PGS1
TCERG1	PRP40
SPTLC2	LCB2
HYOU1	SSE1
RAD23A	RAD23
ACTB	ACT1
KIF3B	KIP1
KIF3B	CIN8
RP11-717K11.2	LSB6
CCNB3	CLB4
CCNB3	CLB6
CCNB3	CLB5
CCNB3	CLB1
CCNB3	CLB2
CCNB3	CLB3
ETNK2	CKI1
ETNK2	EKI1
UBE2F	UBC12
PTPRR	PTP1
PIK3CB	VPS34
PDCD11	RRP5
USP48	UBP15
GLE1	GLE1
PSMB2	PRE1
RPS12	RPS12
DNAH17	DYN1
ANAPC1	APC1
ULK1	ATG1
OSBPL6	OSH2
OSBPL6	SWH1
TUBB4A	TUB2
CLCN7	GEF1
PTCHD4	NCR1
LVRN	APE2
LVRN	AAP1
TUBGCP6	SPC98
RP11-529K1.3	DBP5
SLC4A5	BOR1
WDR82	SWD2
POLH	REV1
CENPE	KIP2
SIRT5	HST2
RPS15A	RPS22B
RPS15A	RPS22A
CACNA1B	CCH1
ADCK1	MCP2
KIF20B	KIP2
RAB13	SEC4
PPM1D	PTC1
ERN2	IRE1
HSD17B3	IFA38
DCLRE1B	PSO2
LACE1	AFG1
RP11-514P8.7	RPB11
PPP2R2C	CDC55
WDSUB1	TUP1
SRI	PEF1
EXOSC7	RRP45
CHMP5	VPS60
CORO1C	CRN1
HECW1	RSP5
KIF5A	KIP2
SEPT14	CDC3
DIRAS2	RSR1
POLR2C	RPB3
XPR1	SYG1
SHPRH	IRC20
GUF1	GUF1
ATP6V1H	VMA13
ERCC4	RAD1
ANKRD12	HOS4
COASY	CAB4
ATP6V1G1	VMA10
UBE2S	RAD6
USP34	UBP15
VRK1	YCK1
VRK1	YCK2
VRK1	YCK3
DNAJA2	YDJ1
CSNK1A1L	HRR25
TEAD2	TEC1
PLS1	SAC6
VPS13D	VPS13
USP17L1	UBP8
RAB4A	YPT31
RAB4A	YPT32
CAPNS1	PEF1
CH25H	ERG25
ZNF260	AZF1
RCC1	SRM1
MYH15	MYO1
SLC2A1	VPS73
WDR36	UTP21
MGAM2	ROT2
SNRPF	SMX3
WWP1	RSP5
GPD1	GPD2
GPD1	GPD1
ZNF106	MET30
SETD2	SET2
PMM2	SEC53
RTEL1-TNFRSF6B	CHL1
EPN2	ENT3
CDK10	CDC28
USP24	UBP15
ETFDH	CIR2
SACM1L	SAC1
RAD51C	RAD51
TRAPPC6B	TRS33
NET1	ROM1
NET1	ROM2
KIF23	KIP2
GK	GUT1
ROMO1	MGR2
RPS7	RPS7A
TUBB	TUB2
MARK3	SNF1
ARPC2	ARC35
NUAK1	SNF1
DDX31	DBP7
RASGRF2	CDC25
GAA	ROT2
UBA5	UBA4
ABHD1	EEB1
ABHD1	EHT1
ATP6V1F	VMA7
RASAL3	BUD2
ASAP1	AGE2
NOS1	NCP1
PPP3R2	CNB1
RPS27A	RPS31
CPSF3L	YSH1
GANAB	ROT2
CDKL3	KIN28
LARS	CDC60
MYL1	MLC1
SLC11A1	SMF1
SLC11A1	SMF3
SLC11A1	SMF2
RFX6	RFX1
IMP3	IMP3
AKR1C3	GRE3
PIP4K2A	MSS4
PDCL2	PLP2
BAZ1B	GCN5
RDH16	LYS2
NAE1	ULA1
PDC	PLP2
PTGR1	ZTA1
CAMKV	CMK1
CAMKV	CMK2
MAP4K2	KIC1
RBBP5	SWD1
PSKH2	CMK1
PSKH2	CMK2
AGAP3	AGE2
UBXN2A	SHP1
CSNK2A3	CKA2
STAG1	IRR1
CEP350	NIP100
MAT2A	SAM1
HSPE1	HSP10
NBEA	BPH1
HNRNPDL	HRP1
ATP10D	DNF1
TMED4	ERP1
TMED4	ERP6
TMED4	ERP5
PCYT2	ECT1
ALAS2	HEM1
EIF4A2	FAL1
GDI1	GDI1
PDE12	CCR4
RALBP1	RGD1
TRMT13	TRM13
DUSP12	YVH1
PDHX	LAT1
DHX33	PRP22
CAB39L	HYM1
TRPT1	TPT1
EP300	BDF1
EP300	BDF2
RP11-145E5.5	MEU1
NPC1	NCR1
PPP2R5D	RTS1
HHAT	GUP1
HHAT	GUP2
BDP1	BDP1
MAP2K3	PBS2
PRKG2	TPK2
PRKG2	TPK1
TAP2	MDL2
TAP2	MDL1
ISG20L2	REX4
GRPEL1	MGE1
ALDH1A3	ALD4
ETFB	CIR1
TUBGCP4	SPC98
EIF6	TIF6
BARD1	HOS4
RAD54L2	RAD54
ATG7	ATG7
BIN3	RVS161
PPM1K	PTC1
ARL10	ARF2
PIF1	RRM3
PIF1	PIF1
MRI1	MRI1
MYO1B	MYO5
MYO1B	MYO3
COPB2	SEC27
AKR1B10	GRE3
GNAI1	GPA2
SLC20A2	PHO89
HERC1	HUL4
IKBKAP	IKI3
SEC14L1	SEC14
LRRCC1	SDS22
NGLY1	PNG1
NOP2	NOP2
RANBP2	YRB1
UQCRC2	MAS2
JADE2	NTO1
MAPK12	HOG1
PGAP1	BST1
KLHDC2	KEL2
KLHDC2	KEL1
MSI1	HRP1
ARHGAP32	RGD1
EIF4E	CDC33
IGHMBP2	HCS1
TRMT112	TRM112
MAPK6	FUS3
MAPK6	KSS1
PSPH	SER2
EMC4	EMC4
KRAS	RAS1
KRAS	RAS2
ADSL	ADE13
RHOT1	GEM1
PRPSAP2	PRS3
PRPSAP2	PRS4
PRPSAP2	PRS2
ABCB6	ATM1
MTMR6	YMR1
CPB1	ECM14
TBC1D3K	MSB3
TBC1D3K	MSB4
CNOT4	MOT2
NOS3	NCP1
SNX5	VPS5
ATP6V0B	VMA16
MOB2	MOB1
CAMK2D	CMK1
CAMK2D	CMK2
GNAT1	GPA2
PEX13	PEX13
FKBP11	FPR2
TTC12	SGT2
ATP6V0D2	VMA6
UTP11	UTP11
ENTPD8	YND1
SEPT3	CDC10
AKR1B1	GRE3
PIAS2	NFI1
PIAS2	SIZ1
WAS	LAS17
HAGHL	GLO2
HAGHL	GLO4
ARHGAP25	RGA1
ARHGAP25	RGA2
CNIH1	ERV14
CNIH1	ERV15
NEK5	KIN3
TRMT10B	TRM10
CDK11B	CDC28
ARFGAP2	GLO3
EEF2	EFT2
RAB24	YPT53
RAB24	VPS21
HDAC1	RPD3
DNM2	VPS1
DNM2	DNM1
CDRT1	MET30
UBE2E2	UBC4
EIF4E3	CDC33
RABL2B	GSP2
RABL2B	GSP1
LATS1	CBK1
EIF5	TIF5
UBE2E1	UBC4
MYH2	MYO1
FMO3	FMO1
NOS2	NCP1
AURKB	IPL1
POLR3H	RPC25
RNF14	ITT1
MAPK11	HOG1
GAPVD1	VPS9
SLC4A1	BOR1
LRRC47	FRS1
USP3	UBP5
USP3	DOA4
AC007325.2	PUT1
WHSC1L1	SET2
TBP	SPT15
DHRS3	TDA5
PRPS1L1	PRS3
PRPS1L1	PRS4
PRPS1L1	PRS2
RPL7A	RPL8B
RPL7A	RPL8A
MGLL	YJU3
NUBPL	NBP35
FBXL16	GRR1
RPP30	RPP1
PAPOLB	PAP1
UAP1L1	QRI1
GPX1	HYR1
GPX1	GPX1
EXOSC5	RRP46
PSMC4	RPT3
POLR2D	RPB4
H3F3C	HHT1
H3F3C	HHT2
FOXJ2	FKH2
FOXJ2	FKH1
FOXJ2	FHL1
SETMAR	SET2
DCUN1D2	DCN1
DNAJC10	MPD1
TOP1	TOP1
GRPEL2	MGE1
ACTA2	ACT1
RPS24	RPS24B
RPS24	RPS24A
PRELID1	UPS1
RP11-108O10.8	ALG9
TIMM8B	TIM8
SUPT16H	SPT16
ELOVL2	ELO2
ELOVL2	ELO1
ELOVL2	ELO3
CYB5R2	CBR1
CYB5R2	PGA3
ZDHHC15	PFA3
NSUN4	NOP2
CHTF18	CTF18
BBOX1	AIM17
TUBA3E	TUB3
TEN1-CDK3	CDC28
UQCC1	CBP3
FA2H	SCS7
WDR38	PRP4
KPNB1	KAP95
RPS14	RPS14A
RPS14	RPS14B
DNAJC15	MDJ2
ARL13B	ARL3
SLC7A13	MUP1
SLC7A13	MUP3
TBC1D12	GYP5
TBC1D12	GYL1
DUS4L	DUS4
ACTL6A	ARP1
ABCD4	PXA1
ATP11C	DRS2
SMARCB1	SNF5
PEX5L	PEX5
PDSS1	COQ1
CSNK2A2	CKA2
KAT5	ESA1
GLO1	GLO1
TBC1D3L	MSB3
TBC1D3L	MSB4
D2HGDH	DLD3
D2HGDH	DLD2
MYO1C	MYO5
MYO1C	MYO3
CTC-479C5.12	PUP1
ELAVL4	PAB1
PSMB10	PUP1
WDR12	YTM1
MSMO1	ERG25
MRPS5	MRPS5
RPN1	OST1
RPL36	RPL36A
RPL36	RPL36B
PHB2	PHB2
TRAPPC2B	TRS20
UBQLN2	DSK2
MGAM	ROT2
RRAS2	RAS1
RRAS2	RAS2
SQLE	ERG1
ZMIZ1	NFI1
ZMIZ1	SIZ1
UCKL1	URK1
PFDN4	GIM3
PAN3	PAN3
DMXL1	RAV1
SMARCA1	ISW2
NRDC	STE23
SRSF6	NPL3
ZFP36L1	CTH1
ZFP36L1	TIS11
ELOVL6	ELO2
ELOVL6	ELO1
ELOVL6	ELO3
YPEL3	MOH1
AQP1	AQY1
AQP1	AQY2
RHPN2	RIM20
TSR3	TSR3
DPP6	STE13
DPP6	DAP2
RIT1	RSR1
MAP3K8	BCK1
MAP3K8	STE11
CUL1	CDC53
EIF3CL	NIP1
GNB1	STE4
ZFAND1	CUZ1
ZFP36	CTH1
ZFP36	TIS11
YIPF5	YIP1
SF1	MSL5
WDR45	HSV2
AK6	FAP7
YME1L1	YME1
STAM2	HSE1
ARPC1B	ARC40
LIPT1	AIM22
ATP6V1C2	VMA5
TRMT12	TRM12
FKBP1B	FPR1
ALLC	DAL2
SLC4A8	BOR1
GNL1	LSG1
USP17L2	UBP8
ATP2A2	PMR1
TST	TUM1
ABHD5	ECM18
ABHD5	ICT1
KLF17	FZF1
MARCH1	SSM4
CYTH1	SEC7
SYNGAP1	BUD2
ALPI	PHO8
HAT1	HAT1
PTPN7	PTP1
TUBGCP5	SPC98
CLPB	HSP104
CLPB	HSP78
PPM1A	PTC2
PPM1A	PTC3
PSMB5	PRE2
RBM19	MRD1
SAR1A	SAR1
FBXL13	GRR1
ZDHHC9	ERF2
HLCS	BPL1
ATG4A	ATG4
RPS8	RPS8B
RPS8	RPS8A
FARS2	MSF1
HECTD2	HUL4
GATA4	GZF3
GATA4	GAT1
GATA4	DAL80
GATA4	GLN3
ARHGAP33	RGD1
BORCS8-MEF2B	RLM1
DPP4	STE13
DPP4	DAP2
CHAC2	GCG1
UBE2L3	UBC4
SIK1	SNF1
MAGT1	OST3
CH507-9B2.5	PWP2
SMAP1	AGE2
ABCD2	PXA1
ENTPD7	YND1
KIF1A	KIP1
KIF1A	CIN8
PKMYT1	SWE1
KLF4	FZF1
EIF2B4	GCD2
NCBP1	STO1
ATG9A	ATG9
ANKRD11	HOS4
SLC39A14	YKE4
ATP2B1	PMC1
MRPL2	RML2
ADH1B	SFA1
ATXN2	PBP1
MYO15B	MYO2
MIPEP	OCT1
HSDL1	IFA38
RPL26L1	RPL26B
RPL26L1	RPL26A
TUBA1B	TUB3
ACACB	ACC1
SLC12A1	VHC1
TBL1Y	SIF2
MTG2	MTG2
TIAL1	PUB1
PPEF2	PPT1
VAV1	CDC24
AP000350.10	VPS73
PIM2	PSK1
PIM2	PSK2
FBXO8	SEC7
EIF5B	FUN12
CHIT1	CTS2
IPO9	KAP114
NEDD4L	RSP5
RAB20	YPT53
RAB20	VPS21
OPA1	MGM1
VAT1L	ETR1
PRDX2	TSA2
PRDX2	TSA1
HSD17B12	IFA38
RPRD1B	RTT103
CCNT1	SSN8
SLC25A48	CRC1
SLC25A30	DIC1
ATP1A4	PMR1
RECQL	SGS1
FLAD1	FAD1
ATP8A2	DRS2
RAB41	YPT6
USP9Y	UBP15
PUM3	PUF6
SLC15A2	PTR2
HSD17B2	LYS2
RP11-603J24.9	MAP2
TBC1D3F	MSB3
TBC1D3F	MSB4
CDK11A	CDC28
RALA	RAS1
RALA	RAS2
ASF1A	ASF1
UBE2K	UBC1
SELO	FMP40
TOP3B	TOP3
NUP107	NUP84
TRAF7	MET30
VPS28	VPS28
OSBPL2	OSH2
OSBPL2	SWH1
CKS1B	CKS1
SLC2A13	ITR1
SLC2A13	ITR2
KRR1	KRR1
PRKAB1	SIP2
PRKAB1	GAL83
HADHB	POT1
ACAP3	AGE2
ARL8B	ARL1
BUB3	GLE2
HGS	VPS27
RPL37A	RPL43B
RPL37A	RPL43A
MOV10	NAM7
USP51	UBP8
USP39	SAD1
KIF6	KIP2
ATG16L2	UTP13
SLC15A5	PTR2
HORMAD1	HOP1
PAK1	STE20
ARIH2	HEL1
CHMP3	VPS24
SLC7A10	MUP1
SLC7A10	MUP3
ANGEL2	CCR4
GNA12	GPA1
PSMB11	PRE2
GSPT1	SUP35
CCT5	CCT5
PEX7	PEX7
HIST3H2BB	HTB2
KIF14	KIP1
KIF14	CIN8
HIST4H4	HHF1
HIST4H4	HHF2
SRP54	SRP54
ERCC6L2	RAD26
HELQ	SLH1
ELAVL2	PAB1
BAZ2B	GCN5
